"","schoolName","schoolLocation","program","url","department","cost","curriculum","prereqcoursework","delivery","length"
"22","San Jose State University","San Jose, California","Online Business Analytics Certificate","http://www.sjsu.edu/lucasschool/bacertificate/","Lucas Graduate School of Business","http://www.sjsu.edu/bursar/fees_due_dates/tuition_fees/","http://www.sjsu.edu/lucasschool/bacertificate/overview/index.html","Statistics","Online","12 units"
"23","Santa Clara University","Santa Clara, California","MBA with concentration in Data Science and Business Analytics","http://www.scu.edu/business/graduates/current-students/data-science.cfm","Leavey School of Business","http://www.scu.edu/business/mba/programs/index.cfm","http://www.scu.edu/business/graduates/current-students/data-science.cfm",NA,"Campus","70 units"
"24","Stanford University","Stanford, California","Biomedical Informatics MS Degree","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults","School of Medicine: Department of Biomedial Informatics","http://scpd.stanford.edu/admissions/tuition-fees","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1240186#searchResults","Math, Statistics, Computer Science, Biology","Campus","45  hours required"
"25","Stanford University","Stanford, California","Data Mining and Applications Graduate Certificate","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1209602","Center for Professional Development","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1209602","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1209602","Math","Online","9 units of credit"
"26","Stanford University","Stanford, California","M.S. in Statistics: Data Science","https://statistics.stanford.edu/academics/ms-statistics-data-science","Department of Statistics","https://statistics.stanford.edu/academics/ms-statistics-data-science","https://statistics.stanford.edu/academics/ms-statistics-data-science","Math, Statistics","Campus","45 credits"
"27","Stanford University","Stanford, California","Master of Science In Computer Science, Specialization in Information Management and Analytics","http://cs.stanford.edu/degrees/mscs/specializations/#IMA","Department of Computer Science","http://studentaffairs.stanford.edu/registrar/students/tuition-fees_13-14","http://cs.stanford.edu/degrees/mscs/programsheets/",NA,"Campus","45 units"
"28","Stanford University","Stanford, California","Mining Massive Data Sets Graduate Certificate","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=10555807","Center for Professional Development","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=10555807","http://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=10555807","Computer Science","Online","12-15 units"
"29","University of California Hastings College of Law","San Francisco, California","Master of Information Management and Systems","http://www.ischool.berkeley.edu/programs/mims","School of Information","http://registrar.berkeley.edu/current_students/registration_enrollment/feesched.html#info","http://www.ischool.berkeley.edu/programs/mims/degreerequirements",NA,"Campus","48 unit"
"30","University of California-Davis","Davis, California","Hybrid MBA with Business Analytics and Technologies Concentration","http://gsm.ucdavis.edu/bay-area-mba","Graduate School of Management","http://gsm.ucdavis.edu/bay-area-working-professional-costs-financial-aid","http://gsm.ucdavis.edu/general-information/business-analytics-and-technologies",NA,"Campus","72 units"
"31","University of California-Davis","Davis, California","Master's of Health Informatics","http://www.ucdmc.ucdavis.edu/informatics/masters/","School of Medicine","http://www.ucdmc.ucdavis.edu/informatics/financial_support/index.html","http://www.ucdmc.ucdavis.edu/informatics/descriptions/index.html",NA,"Campus","43 units"
"32","University of California-Irvine","Irvine, California","Business Intelligence & Data Warehousing Certificate","http://unex.uci.edu/areas/it/data_warehousing/","UCI Extension School","http://www.reg.uci.edu/navigation/fees.html","http://unex.uci.edu/areas/it/data_warehousing/courses.aspx",NA,"Online","9 credits"
"33","University of California-Irvine","Irvine, California","Predictive Analytics Certificate Program","http://unex.uci.edu/areas/it/predictive_analytics/","UCI Extension School","http://unex.uci.edu/pdfs/brochures/predictive_analytics.pdf","http://unex.uci.edu/areas/it/predictive_analytics/courses.aspx",NA,"Online","16 units"
"34","University of California-San Diego","La Jolla, California","Data Mining Certificate","http://extension.ucsd.edu/programs/index.cfm?vAction=certDetail&vCertificateID=128&vStudyAreaID=14","UC San Diego Extension School","http://extension.ucsd.edu/programs/pdf/128_Frequent_Questions.pdf?26-Sep-14","http://extension.ucsd.edu/programs/index.cfm?vAction=certDetail&vCertificateID=128&vStudyAreaID=14","Statistics","Online","14.5-18.5"
"35","University of California-San Diego","La Jolla, California","Master of Advanced Study in Data Science and Engineering","http://www.jacobsschool.ucsd.edu/mas/dse/index.sfe","Departments of Computer Science and Engineering","http://www.jacobsschool.ucsd.edu/mas/dse/cost.sfe","http://www.jacobsschool.ucsd.edu/mas/dse/curric.sfe",NA,"Campus or Online","38 units"
"36","University of San Francisco","San Francisco, California","Master of Science in Analytics","http://www.usfca.edu/analytics/","College of Arts and Sciences","http://www.usfca.edu/artsci/msan/financial_aid/","http://www.usfca.edu/artsci/msan/program/","Statistics, Math","Campus","38 units / 1 year"
"37","University of Southern California","Los Angeles, California","Master of Science in Business Analytics","http://www.marshall.usc.edu/msanalytics","Marshall School of Business","http://www.marshall.usc.edu/msanalytics/program_cost","http://www.marshall.usc.edu/msanalytics/curriculum",NA,"Campus","27 units"
"38","University of Southern California","Los Angeles, California","Master of Science in Computer Science - Data Science","http://gapp.usc.edu/graduate-programs/masters/computer-science/data-science","Viterbi School of Engineering","https://catalogue.usc.edu/tuition/","http://gapp.usc.edu/graduate-programs/masters/computer-science/data-science#program-details","Technical Bachelor's Degree","Campus","27 units"
"39","University of Southern California","Los Angeles, California","Master of Science in Healthcare Decision Analysis Concentration in Business Intelligence","http://hcda.usc.edu/program/","School of Pharmacy","https://catalogue.usc.edu/tuition/","http://hcda.usc.edu/curriculum/",NA,"Campus","33 units / 15 months"
"40","University of the Pacific","Stockton, California","Master of Science in Analytics","http://www.pacific.edu/Academics/Schools-and-Colleges/School-of-Engineering-and-Computer-Science/Academics-/MS-Analytics-Program.html","School of Engineering and Computer Science","http://www.pacific.edu/Campus-Life/Student-Services/Student-Accounts/Tuition-and-Fees-San-Francisco.html","http://www.pacific.edu/Academics/Schools-and-Colleges/School-of-Engineering-and-Computer-Science/Academics-/MS-Analytics-Program/Curriculum.html",NA,"Hybrid","12 months"
"41","American Sentinel University","Aurora, Colorado","Master of Science Business Intelligence and Analytics (MSBIA)","http://www.americansentinel.edu/management/m-s-business-intelligence","None listed","http://www.americansentinel.edu/financial-information/tuition-and-fees/masters-program","http://www.americansentinel.edu/management/m-s-business-intelligence/msbi-curriculum",NA,"Online","36 credits"
"42","Aspen University","Denver, Colorado","Master of Science in Technology and Innovation - Business Intelligence and Data Management","http://www.aspen.edu/degrees/masters-degree/master-of-science-in-technology-and-innovation-business-intelligence-and-data-management","None listed","http://www.aspen.edu/degrees/masters-degree/master-of-science-in-technology-and-innovation-business-intelligence-and-data-management/tuition","http://www.aspen.edu/degrees/masters-degree/master-of-science-in-technology-and-innovation-business-intelligence-and-data-management/classes",NA,"Online","36 credits"
"43","Colorado State University-Fort Collins","Fort Collins, Colorado","Applied Statistics Certificate","http://www.online.colostate.edu/certificates/applied-statistics/","Department of Statistics","http://www.online.colostate.edu/certificates/applied-statistics/","http://www.online.colostate.edu/certificates/applied-statistics/",NA,"Online","10 credits"
"44","Colorado State University-Fort Collins","Fort Collins, Colorado","Data Analysis Certificate","http://www.online.colostate.edu/certificates/data-analysis/","Department of Statistics","http://www.online.colostate.edu/certificates/data-analysis/","http://www.online.colostate.edu/certificates/data-analysis/","Statistics","Online","10-11 credits"
"45","Colorado State University-Fort Collins","Fort Collins, Colorado","Graduate Certificate in Business Intelligence","http://biz.colostate.edu/degreesCertificates/Pages/certificatePrograms.aspx","College of Business","http://registrar.colostate.edu/student-resources/tuition-fees/","http://www.catalog.colostate.edu/Content/files/2014/ProgramPDF/2.6BUSINESS.pdf",NA,"Online","Not given"
"46","Colorado State University-Fort Collins","Fort Collins, Colorado","Master of Applied Statistics (M.A.S.)","http://www.online.colostate.edu/degrees/applied-statistics/","Department of Statistics","http://www.online.colostate.edu/degrees/applied-statistics/","http://www.online.colostate.edu/degrees/applied-statistics/curriculum.dot","Math, Statistics","Online","31 credits"
"47","Colorado State University-Global Campus","Greenwood Village, Colorado","Certificate in Business Intelligence","https://csuglobal.edu/graduate/programs/certificates-completion/business-intelligence/","None listed","https://csuglobal.edu/cost/tuition/tuition-rates/","https://csuglobal.edu/graduate/programs/certificates-completion/business-intelligence/",NA,"Online","12 credits"
"48","Regis University","Denver, Colorado","Graduate Certificate in Data Science","http://www.regis.edu/CCIS/Academics/Degrees-Programs/Certificates/GC-Data-Science.aspx","College of Computer and Information Sciences","http://www.regis.edu/CCIS/Academics/Degrees-Programs/Certificates/GC-Data-Science.aspx","http://regis.edu/~/media/Files/CCIS/Fact%20Sheets/Cert%20Fact%20Sheets/CCIS_DataScience_CERT_2015.ashx",NA,"Online","12 credit hours"
"49","University of Colorado Boulder","Boulder, Colorado","Master of Science in Business Administration-Business Analytics","http://www.colorado.edu/leedsms/ms-programs","Leeds School of Business","http://www.colorado.edu/leedsms/sites/default/files/attached-files/MS%20Tuition%20%26%20Financial%20Aid_0.pdf","https://www.colorado.edu/leedsms/sites/default/files/attached-files/MS%20Business%20Analytics.pdf",NA,"Campus","33 credits"
"50","University of Colorado Denver","Denver, Colorado","Graduate Applied Statistics Certificate","http://catalog.ucdenver.edu/preview_program.php?catoid=7&poid=1329&returnto=827","College of Arts and Sciences: Department of Mathematical and Statistical Sc","http://www.ucdenver.edu/student-services/resources/CostsAndFinancing/billing/Pages/StudentBilling.aspx","http://catalog.ucdenver.edu/preview_program.php?catoid=7&poid=1329&returnto=827","Statistics","Campus","13 hours"
"51","University of Colorado Denver","Denver, Colorado","Master of Science in Information Systems","http://www.ucdenver.edu/academics/colleges/business/degrees/ms/IS/Pages/Information-Systems.aspx","Business School","http://www.ucdenver.edu/student-services/resources/CostsAndFinancing/tuition/graduate/Pages/Business.aspx","http://catalog.ucdenver.edu/preview_program.php?catoid=16&poid=3711&returnto=3379",NA,"Campus or Online","30 units"
"52","University of Colorado Denver","Denver, Colorado","MS in Business Analytics - Big Data Specialization","http://www.ucdenver.edu/academics/colleges/business/degrees/ms/business-analytics/Pages/Big-Data.aspx","Business School","http://www.ucdenver.edu/student-services/resources/CostsAndFinancing/tuition/graduate/Pages/Business.aspx","http://www.ucdenver.edu/academics/colleges/business/Documents/brochures/CU-Denver-MS_Business%20Analytics.pdf",NA,"Campus","30 credits"
"53","University of Colorado Denver","Denver, Colorado","MS in Decision Sciences","http://catalog.ucdenver.edu/preview_program.php?catoid=10&poid=2105&returnto=1350","Business School","http://www.ucdenver.edu/student-services/resources/CostsAndFinancing/billing/Pages/StudentBilling.aspx","http://catalog.ucdenver.edu/preview_program.php?catoid=10&poid=2105&returnto=1350",NA,"Campus","30 hours"
"54","University of Colorado Denver","Denver, Colorado","MS in Information Systems - Business Intelligence","http://www.ucdenver.edu/academics/colleges/business/degrees/ms/IS/Pages/Business-Intelligence-Systems.aspx","Business School","http://www.ucdenver.edu/student-services/resources/CostsAndFinancing/tuition/graduate/Pages/Business.aspx","http://catalog.ucdenver.edu/preview_program.php?catoid=16&poid=3711&returnto=3379",NA,"Online","30 credits"
"55","University of Denver","Denver, Colorado","Business Information and Analytics Certificate","http://daniels.du.edu/academic-programs/certificates-professional-development/graduate-business-certificates/business-information-analytics/","Daniels College of Business","http://daniels.du.edu/academic-programs/certificates-professional-development/graduate-business-certificates/","http://daniels.du.edu/academic-programs/certificates-professional-development/graduate-business-certificates/business-information-analytics/",NA,"Campus","16 credits"
"56","University of Denver","Denver, Colorado","Master of Science in Business Analytics","http://daniels.du.edu/masters-degrees/business-analytics/","Daniels College of Business","http://daniels.du.edu/masters-degrees/business-analytics/tuition/","",NA,"Campus","12-36 months, 58 credits"
"57","Central Connecticut State University","New Britain, Connecticut","Graduate Certificate in Data Mining","http://web.ccsu.edu/datamining/graduate%20certificate.html","Department of Mathematical Sciences","http://web.ccsu.edu/catalogs/Graduate/2006_2008/Reg_Tuit_FeesTOC.htm","http://web.ccsu.edu/datamining/graduate%20certificate.html","Statistics","Online","18 credits"
"58","Quinnipiac University","Hamden, Connecticut","Master of Science in Business Analytics","http://www.quinnipiac.edu/academics/qu-online/online-programs/online-graduate-programs/master-of-science-in-business-analytics/","School of Business","http://www.quinnipiac.edu/academics/qu-online/what-it-costs/tuition-and-fees/","http://www.quinnipiac.edu/academics/qu-online/online-programs/online-graduate-programs/master-of-science-in-business-analytics/curriculum/",NA,"Online","33 credits"
"59","University of Connecticut","Storrs, Connecticut","Master of Science in Business Analytics and Project Management","http://msbapm.business.uconn.edu/","School of Business","http://msbapm.business.uconn.edu/admissions/cost/","http://msbapm.business.uconn.edu/academics/curriculum/","Math","Campus","33 hours"
"60","University of New Haven","West Haven, Connecticut","M.B.A. - Business Intelligence Concentration","http://catalog.newhaven.edu/preview_program.php?catoid=3&poid=673&returnto=604","College of Business","http://catalog.newhaven.edu/content.php?catoid=3&navoid=613","http://catalog.newhaven.edu/preview_program.php?catoid=3&poid=673&returnto=604",NA,"Campus","30-54 credits"
"61","American University","Washington, District of Columbia","MS Analytics","http://requestinfo.onlinebusiness.american.edu/analytics.html?s=mastersdatasciencesiteau&l=analyticsfeature&c=1002240&utm_source=mastersdatasciencesiteau&utm_campaign=analyticsfeature&utm_content=1002240&utm_medium=link","Kogod School of Business","http://requestinfo.onlinebusiness.american.edu/analytics.html?s=mastersdatasciencesiteau&l=analyticsfeature&c=1002240&utm_source=mastersdatasciencesiteau&utm_campaign=analyticsfeature&utm_content=1002240&utm_medium=link","http://requestinfo.onlinebusiness.american.edu/analytics.html?s=mastersdatasciencesiteau&l=analyticsfeature&c=1002240&utm_source=mastersdatasciencesiteau&utm_campaign=analyticsfeature&utm_content=1002240&utm_medium=link",NA,"Online","33 credit hours"
"62","George Washington University","Washington, District of Columbia","Master of Science in Data Science","http://datasci.columbian.gwu.edu/why-data-science-gw?utm_source=masterindatascience&utm_medium=web&utm_campaign=promoted%20listing","Columbian College of Arts and Sciences","http://datasci.columbian.gwu.edu/why-data-science-gw?utm_source=masterindatascience&utm_medium=web&utm_campaign=promoted%20listing","http://datasci.columbian.gwu.edu/why-data-science-gw?utm_source=masterindatascience&utm_medium=web&utm_campaign=promoted%20listing",NA,"Campus","Full-time or part-time"
"63","Georgetown University","Washington, District of Columbia","Master of Science in Analytics, Concentration in Data Sciences (MS-DS)","http://gradanalytics.georgetown.edu/","Graduate School of Arts & Sciences","http://gradanalytics.georgetown.edu/admissions/tuition-costs","http://gradanalytics.georgetown.edu/academics/degree-requirements","Math, Statistics","Campus","30 credits"
"64","Florida International University","Miami, Florida","Master of Science in Health Informatics and Management Systems","http://business.fiu.edu/fiubusiness/mshims.cfm","Chapman Graduate School of Business","http://business.fiu.edu/chapman/mshims/index.cfm#main","http://business.fiu.edu/chapman/mshims/index.cfm#main",NA,"Campus","14 months"
"65","Full Sail University","Winter Park, Florida","Master of Science in Business Intelligence","http://www.fullsail.edu/degrees/online/business-intelligence-masters","Full Sail University","http://www.fullsail.edu/degrees/online/business-intelligence-masters/outcomes-and-statistics","http://www.fullsail.edu/degrees/online/business-intelligence-masters/courses",NA,"Online","36 credit hours/12 months"
"66","Nova Southeastern University","Fort Lauderdale, Florida","Graduate Certificate in Business Intelligence / Analytics","http://www.scis.nova.edu/masters/certificate_bi.html","Graduate School of Computer and Information Sciences","http://www.scis.nova.edu/masters/certificate_bi.html","http://www.scis.nova.edu/masters/certificate_bi.html",NA,"Online","15 credits"
"67","Nova Southeastern University","Fort Lauderdale, Florida","Master of Science in Biomedical Informatics","http://medicine.nova.edu/msbi/curriculum.html","College of Osteopathic Medicine","http://medicine.nova.edu/msbi/admissions/tuition_fees.html","http://medicine.nova.edu/msbi/curriculum.html","Biology, Computer Science","Campus","43 credits"
"68","Pasco-Hernando State College","New Port Richey, Florida","Healthcare Informatics Specialist Certificate","http://phsc.edu/program/healthcare-informatics-specialist-certificate","Health and Information Technology","http://phsc.edu/healthcare-informatics-specialist-certificate/estimated-costs","http://phsc.edu/healthcare-informatics-specialist-certificate/curriculum-and-requirements","Computer Science","Campus","18 credit hours"
"69","University of Central Florida","Orlando, Florida","M.S.  in Statistical Computing Data Mining Track","http://dms.stat.ucf.edu/","Department of Statistics","http://finaid.ucf.edu/applying/app_costs.html","http://www.graduatecatalog.ucf.edu/programs/Program.aspx?ID=1424&TID=810","Computer Science Statistics","Campus","36 credit hours"
"70","University of Central Florida","Orlando, Florida","Master of Science in Health Care Informatics","http://www.ce.ucf.edu/Program/2626/Master-Of-Science-In-Health-Care-Informatics/","Department of Health Management & Informatics","http://www.ce.ucf.edu/Program/2626/Master-Of-Science-In-Health-Care-Informatics/","http://www.ce.ucf.edu/Program/2626/Master-Of-Science-In-Health-Care-Informatics/",NA,"Online","36 credits"
"71","University of Central Florida","Orlando, Florida","Professional Science Master's Program in Health Care Informatics","http://www.graduatecatalog.ucf.edu/programs/Program.aspx?ID=5852","Department of Health Management and Informatics","http://tuitionfees.ikm.ucf.edu","http://www.graduatecatalog.ucf.edu/programs/Program.aspx?ID=5852",NA,"Online","36 credits"
"72","University of Florida","Gainesville, Florida","Master of Science in Information Systems and Operations Management (Business Intelligence & Analytics specialization)","http://warrington.ufl.edu/graduate/academics/ms-isom/","Warrington College of Business Administration","http://www.fa.ufl.edu/bursar/current-students/tuition-and-fees-2013-14/fall-2013-students-for-the-2013-14-academic-year/#credit","http://warrington.ufl.edu/graduate/academics/ms-isom/courses.asp",NA,"Campus","36 credit hours"
"73","University of Miami","Coral Gables, Florida","Master of Science in Business Analytics","http://www.bus.miami.edu/graduate-programs/specialized-masters/analytics/index.html","University of Miami School of Business","http://www.bus.miami.edu/graduate-programs/specialized-masters/tuition/index.html","http://www.bus.miami.edu/graduate-programs/specialized-masters/analytics/courses/index.html",NA,"Campus","30 credits"
"74","University of South Florida Sarasota-Manatee","Sarasota, Florida","Business Analytics Certificate","http://usfsm.edu/catalog/graduate/college-of-business-degree-programs/college-of-business-certificate-programs/business-analytics-certificate/","College of Business","http://usfweb2.usf.edu/uco/studentaccounting/Current_Tuition.asp","http://usfsm.edu/catalog/graduate/college-of-business-degree-programs/college-of-business-certificate-programs/business-analytics-certificate/",NA,"Campus","15 credit hours"
"75","University of South Florida-Main Campus","Tampa, Florida","Analytics and Business Intelligence Certificate","http://www.usf.edu/innovative-education/programs/graduate-certificates/analytics-and-business-intelligence.aspx","Muma College of Business","http://www.usf.edu/innovative-education/programs/graduate-certificates/analytics-and-business-intelligence.aspx","http://www.usf.edu/innovative-education/programs/graduate-certificates/analytics-and-business-intelligence.aspx",NA,"Online","12 credits"
"76","University of South Florida-Main Campus","Tampa, Florida","MS in Health Informatics Online","http://www.usfhealthonline.com/programs/masters-degree/ms-health-informatics/","Morsani College of Medicine","http://www.usfhealthonline.com/admissions/tuition-financial-aid/","http://www.usfhealthonline.com/programs/masters-degree/ms-health-informatics/curriculum/",NA,"Online","32 credit hours"
"77","Georgia Southern University","Statesboro, Georgia","M.S. - Computer Science with concentration in Data and Knowledge Systems","http://ceit.georgiasouthern.edu/cs/degrees/mscs/","Department of Computer Sciences","http://businesssrvs.georgiasouthern.edu/bursar/office-of-student-accounts/tuition-and-fees/","http://ceit.georgiasouthern.edu/cs/degrees/mscs/mscs_prospective","Technical Bachelor's Degree","Online","30 credit hours/2 years"
"78","Georgia State University","Atlanta, Georgia","Master of Science in Analytics","http://specialized.robinson.gsu.edu/msa/","Robinson College of Business","http://specialized.robinson.gsu.edu/tuition-financing/","http://specialized.robinson.gsu.edu/msa/curriculum-courses/","Math, Statistics, Economics","Campus","32 hours"
"79","Georgia Tech","Atlanta, Georgia","MS - Computer Science with specialization in machine learning","http://www.cc.gatech.edu/future/masters/mscs/program","College of Computing","http://www.bursar.gatech.edu/student/tuition/Spring_2014/Spring14-all_fees.pdf","http://www.cc.gatech.edu/academics/degree-programs/masters/computer-science/specializations",NA,"Campus","36 credit hours"
