"Id","Predicted"
60000801,0.42
60000821,0.41
60000841,0.47
60000861,0.5
60000881,0.42
60000901,0.54
60000921,0.32
60000941,0.46
60000961,0.52
60000981,0.33
60001001,0.45
60001021,0.45
60001041,0.51
60001061,0.37
60001081,0.47
60001101,0.39
60001121,0.5
60001141,0.42
60001161,0.52
60001181,0.3
60001201,0.45
60001221,0.45
60001241,0.24
60001261,0.33
60001281,0.47
60001301,0.54
60001321,0.39
60001341,0.44
60001361,0.4
60001381,0.44
60001401,0.52
60001421,0.44
60001441,0.26
60001461,0.47
60001481,0.58
60001501,0.47
60001521,0.44
60001541,0.47
60001561,0.33
60001581,0.44
60001601,0.23
60001621,0.44
60001641,0.42
60001661,0.48
60001681,0.45
60001701,0.39
60001721,0.39
60001741,0.24
60001761,0.5
60001781,0.41
60001801,0.4
60001821,0.32
60001841,0.42
60001861,0.43
60001881,0.27
60001901,0.52
60001921,0.51
60001941,0.44
60001961,0.57
60001981,0.46
60000002,0.48
60000022,0.54
60000042,0.51
60000062,0.57
60000082,0.43
60000102,0.51
60000122,0.47
60000142,0.39
60000162,0.52
60000182,0.4
60000202,0.4
60000222,0.4
60000242,0.42
60000262,0.55
60000282,0.47
60000302,0.23
60000322,0.32
60000342,0.48
60000362,0.55
60000382,0.58
60000402,0.61
60000422,0.31
60000442,0.37
60000462,0.32
60000482,0.53
60000502,0.47
60000522,0.55
60000542,0.4
60000562,0.53
60000582,0.52
60000602,0.35
60000622,0.38
60000642,0.4
60000662,0.33
60000682,0.18
60000702,0.53
60000722,0.4
60000742,0.28
60000762,0.37
60000782,0.44
60000802,0.4
60000822,0.34
60000842,0.36
60000862,0.42
60000882,0.47
60000902,0.42
60000922,0.39
60000942,0.35
60000962,0.46
60000982,0.6
60001002,0.32
60001022,0.48
60001042,0.3
60001062,0.3
60001082,0.37
60001102,0.45
60001122,0.4
60001142,0.33
60001162,0.4
60001182,0.45
60001202,0.53
60001222,0.56
60001242,0.27
60001262,0.57
60001282,0.57
60001302,0.56
60001322,0.5
60001342,0.42
60001362,0.32
60001382,0.39
60001402,0.56
60001422,0.4
60001442,0.42
60001462,0.33
60001482,0.42
60001502,0.4
60001522,0.33
60001542,0.41
60001562,0.51
60001582,0.43
60001602,0.55
60001622,0.43
60001642,0.44
60001662,0.4
60001682,0.52
60001702,0.47
60001722,0.29
60001742,0.57
60001762,0.46
60001782,0.38
60001802,0.43
60001822,0.41
60001842,0.52
60001862,0.32
60001882,0.4
60001902,0.39
60001922,0.32
60001942,0.37
60001962,0.68
60001982,0.52
60000003,0.44
60000023,0.48
60000043,0.52
60000063,0.44
60000083,0.42
60000103,0.46
60000123,0.43
60000143,0.32
60000163,0.47
60000183,0.51
60000203,0.33
60000223,0.54
60000243,0.49
60000263,0.42
60000283,0.4
60000303,0.37
60000323,0.39
60000343,0.53
60000363,0.44
60000383,0.44
60000403,0.22
60000423,0.42
60000443,0.51
60000463,0.34
60000483,0.51
60000503,0.45
60000523,0.48
60000543,0.47
60000563,0.52
60000583,0.55
60000603,0.33
60000623,0.34
60000643,0.45
60000663,0.39
60000683,0.37
60000703,0.47
60000723,0.42
60000743,0.44
60000763,0.23
60000783,0.44
60000803,0.29
60000823,0.47
60000843,0.41
60000863,0.27
60000883,0.4
60000903,0.57
60000923,0.38
60000943,0.44
60000963,0.38
60000983,0.5
60001003,0.48
60001023,0.49
60001043,0.42
60001063,0.47
60001083,0.49
60001103,0.47
60001123,0.43
60001143,0.62
60001163,0.48
60001183,0.43
60001203,0.51
60001223,0.43
60001243,0.57
60001263,0.48
60001283,0.3
60001303,0.5
60001323,0.47
60001343,0.38
60001363,0.38
60001383,0.41
60001403,0.59
60001423,0.6
60001443,0.29
60001463,0.5
60001483,0.58
60001503,0.42
60001523,0.39
60001543,0.43
60001563,0.35
60001583,0.4
60001603,0.48
60001623,0.43
60001643,0.42
60001663,0.4
60001683,0.39
60001703,0.51
60001723,0.51
60001743,0.32
60001763,0.43
60001783,0.54
60001803,0.44
60001823,0.3
60001843,0.46
60001863,0.53
60001883,0.47
60001903,0.42
60001923,0.39
60001943,0.48
60001963,0.37
60001983,0.39
60000004,0.5
60000024,0.43
60000044,0.42
60000064,0.44
60000084,0.58
60000104,0.52
60000124,0.32
60000144,0.34
60000164,0.47
60000184,0.47
60000204,0.38
60000224,0.44
60000244,0.46
60000264,0.44
60000284,0.28
60000304,0.49
60000324,0.44
60000344,0.5
60000364,0.44
60000384,0.44
60000404,0.38
60000424,0.41
60000444,0.45
60000464,0.43
60000484,0.46
60000504,0.41
60000524,0.3
60000544,0.58
60000564,0.5
60000584,0.35
60000604,0.5
60000624,0.5
60000644,0.36
60000664,0.3
60000684,0.24
60000704,0.51
60000724,0.52
60000744,0.52
60000764,0.36
60000784,0.5
60000804,0.4
60000824,0.43
60000844,0.39
60000864,0.46
60000884,0.52
60000904,0.36
60000924,0.35
60000944,0.34
60000964,0.51
60000984,0.3
60001004,0.46
60001024,0.44
60001044,0.33
60001064,0.31
60001084,0.47
60001104,0.36
60001124,0.44
60001144,0.19
60001164,0.4
60001184,0.41
60001204,0.43
60001224,0.27
60001244,0.5
60001264,0.46
60001284,0.4
60001304,0.44
60001324,0.48
60001344,0.4
60001364,0.4
60001384,0.31
60001404,0.37
60001424,0.37
60001444,0.43
60001464,0.43
60001484,0.37
60001504,0.45
60001524,0.29
60001544,0.44
60001564,0.34
60001584,0.42
60001604,0.27
60001624,0.53
60001644,0.41
60001664,0.48
60001684,0.39
60001704,0.3
60001724,0.43
60001744,0.5
60001764,0.45
60001784,0.26
60001804,0.45
60001824,0.38
60001844,0.37
60001864,0.32
60001884,0.49
60001904,0.41
60001924,0.46
60001944,0.43
60001964,0.46
60001984,0.33
